Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Austin Hays,0.219,0.242,0.344,0.586,,,33,2,1,6,0,,0.316,0.03,0.364,0.125
Brett Baty,0.218,0.211,0.309,0.52,,,57,6,0,7,2,,0.308,0.0,0.316,0.091
Jared Triolo,0.217,0.308,0.261,0.569,,,26,2,0,1,0,,0.278,0.077,0.192,0.044
Eugenio Suárez,0.217,0.299,0.333,0.632,,,67,5,2,8,0,,0.297,0.104,0.313,0.116
Colton Cowser,0.216,0.318,0.243,0.561,,,45,5,0,3,0,,0.296,0.133,0.244,0.027
Yainer Diaz,0.216,0.255,0.294,0.549,,,55,4,1,9,0,,0.233,0.055,0.145,0.078
Logan O'Hoppe,0.216,0.339,0.235,0.574,,,62,4,0,7,0,,0.268,0.129,0.177,0.019
Isaac Collins,0.214,0.327,0.31,0.637,,,49,7,1,4,0,,0.308,0.122,0.306,0.096
Adolis García,0.213,0.29,0.361,0.651,,,69,5,2,5,1,,0.268,0.072,0.275,0.148
Nolan Schanuel,0.213,0.3,0.344,0.644,,,70,4,2,11,0,,0.22,0.114,0.143,0.131
Kyle Karros,0.213,0.327,0.234,0.561,,,55,6,0,1,2,,0.294,0.145,0.236,0.021
Rafael Devers,0.212,0.268,0.318,0.586,,,71,6,2,6,0,,0.273,0.07,0.282,0.106
Austin Riley,0.212,0.307,0.258,0.565,,,75,9,0,8,2,,0.269,0.12,0.187,0.046
Ramón Urías,0.212,0.316,0.485,0.801,,,38,6,2,4,0,,0.217,0.105,0.211,0.273
Nasim Nuñez,0.212,0.293,0.231,0.524,,,58,8,0,5,7,,0.275,0.086,0.207,0.019
Ketel Marte,0.211,0.273,0.408,0.681,,,77,10,4,9,0,,0.22,0.078,0.221,0.197
Nathaniel Lowe,0.211,0.348,0.316,0.664,,,23,0,0,5,0,,0.267,0.174,0.174,0.105
Richie Palacios,0.211,0.4,0.368,0.768,,,25,5,1,3,2,,0.2,0.16,0.12,0.157
