Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Fernando Cruz,4.91,,,1.21,13.36,3.82,0.82,0.351,0.1,0.211,,,66.0,58,2,1,2
Austin Hedges,4.91,,,1.36,2.45,0.0,2.45,0.062,0.0,0.333,,,3.2,4,0,0,0
Janson Junk,4.91,,,1.36,6.14,2.45,1.23,0.152,0.061,0.267,,,7.1,2,1,0,1
Chris Murphy,4.91,,,1.41,9.25,3.21,0.94,0.231,0.08,0.263,,,47.2,20,0,1,2
Michael Rucker,4.91,,,1.44,8.93,4.24,1.34,0.227,0.108,0.257,,,40.1,35,0,2,1
Freddy Tarnok,4.91,,,1.5,8.59,6.75,2.45,0.215,0.169,0.204,,,14.2,5,1,1,1
Juan Then,4.91,,,1.45,4.09,1.64,2.45,0.104,0.042,0.304,,,11.0,9,0,0,0
Emmet Sheehan,4.92,,,1.19,9.55,3.88,1.64,0.258,0.105,0.21,,,60.1,13,11,4,1
Phil Bickford,4.95,,,1.46,10.16,5.21,1.07,0.25,0.128,0.23,,,67.1,61,0,5,5
Anthony Bass,4.95,,,1.4,8.55,4.05,1.35,0.216,0.102,0.247,,,20.0,22,0,0,0
Brad Boxberger,4.95,,,1.3,7.65,4.95,1.35,0.202,0.131,0.208,,,20.0,22,0,0,1
Germán Márquez,4.95,,,1.1,7.65,1.35,1.8,0.212,0.037,0.257,,,20.0,4,4,2,2
Trevor Richards,4.95,,,1.35,13.0,4.33,1.61,0.333,0.111,0.228,,,72.2,56,3,2,1
Touki Toussaint,4.97,,,1.45,8.79,5.9,1.03,0.221,0.148,0.223,,,87.0,20,16,4,7
Nick Wittgren,4.97,,,1.41,5.59,3.41,0.62,0.141,0.086,0.263,,,29.0,27,0,1,0
Nestor Cortes,4.97,,,1.25,9.52,2.84,1.56,0.252,0.075,0.244,,,63.1,12,12,5,2
Steven Cruz,4.97,,,1.74,10.66,7.82,0.71,0.242,0.177,0.22,,,12.2,10,4,0,0
Jose E. Hernandez,4.97,,,1.36,11.01,3.91,1.6,0.278,0.099,0.239,,,50.2,50,0,1,3
Dakota Hudson,4.98,,,1.5,4.98,3.76,1.0,0.127,0.096,0.283,,,81.1,18,12,6,3
Tony Gonsolin,4.98,,,1.22,7.17,3.5,1.66,0.189,0.092,0.226,,,103.0,20,20,8,5
Jack Flaherty,4.99,,,1.58,9.23,4.12,1.06,0.228,0.102,0.287,,,144.1,29,27,8,9
Andre Jackson,4.99,,,1.21,8.36,3.23,1.61,0.222,0.086,0.225,,,61.1,19,7,1,3
Drew Smyly,5.0,,,1.43,8.92,3.54,1.64,0.225,0.089,0.265,,,142.1,41,23,11,11
Tanner Houck,5.01,,,1.37,8.41,3.48,1.19,0.214,0.089,0.254,,,106.0,21,21,6,10
David Peterson,5.03,,,1.57,10.38,4.05,1.3,0.26,0.102,0.287,,,111.0,27,21,3,8
Jose A. Ferrer,5.03,,,1.47,6.62,3.44,1.06,0.176,0.092,0.289,,,34.0,39,0,3,0
Kyle Freeland,5.03,,,1.47,5.43,2.43,1.68,0.139,0.062,0.3,,,155.2,29,29,6,14
Yunior Marte,5.03,,,1.63,8.69,3.89,1.37,0.209,0.093,0.288,,,39.1,40,0,1,1
Grant Anderson,5.05,,,1.46,7.57,3.53,1.26,0.195,0.091,0.277,,,35.2,26,0,2,1
Zack Greinke,5.06,,,1.27,6.13,1.45,1.58,0.164,0.039,0.282,,,142.1,30,27,2,15
Yency Almonte,5.06,,,1.4,9.19,4.5,1.13,0.236,0.115,0.239,,,48.0,49,0,3,2
Joe Jacques,5.06,,,1.58,6.75,3.38,0.67,0.164,0.082,0.308,,,26.2,23,1,2,1
Triston McKenzie,5.06,,,1.56,9.0,7.31,0.56,0.219,0.178,0.2,,,16.0,4,4,0,3
Rafael Montero,5.08,,,1.53,10.56,3.88,1.47,0.265,0.097,0.279,,,67.1,68,0,3,3
Hunter Brown,5.09,,,1.36,10.29,3.18,1.5,0.268,0.083,0.262,,,155.2,31,29,11,13
Brendan White,5.09,,,1.35,9.74,3.32,0.89,0.249,0.085,0.258,,,40.2,33,2,2,3
Andrew Bellatti,5.11,,,1.5,9.12,4.38,1.46,0.221,0.106,0.25,,,24.2,27,0,1,0
Spencer Patton,5.11,,,1.54,5.11,4.38,2.19,0.127,0.109,0.277,,,12.1,12,0,0,0
Hobie Harris,5.12,,,1.76,4.19,6.05,0.93,0.099,0.143,0.273,,,19.1,16,0,0,0
Matt Koch,5.12,,,1.29,6.28,2.09,1.63,0.166,0.055,0.272,,,38.2,39,1,3,2
Jeff Lindgren,5.14,,,1.14,1.29,5.14,0.0,0.036,0.143,0.167,,,7.0,3,0,0,0
